ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumInjGas(E3m3).1,CumPrdOil(m3),Percentage_Change_Monthly_Injected_Steam
1994-12-01,126981.9,40860.5,0.0,2701.3,74291,23016,8337973.3,2701.3,3623716.2,11.18885711333597
1995-01-01,127659.4,37421.2,0.0,2701.3,72023,22680,8465632.7,2701.3,3661137.4,0.5335406069683968
1995-02-01,121438.7,32825.1,0.0,2701.3,64161,20304,8587071.4,2701.3,3693962.5,4.872888326280711
1995-03-01,134597.4,38526.2,0.0,2701.3,73097,22416,8721668.8,2701.3,3732488.7,10.835672648010885
1995-04-01,119221.3,37713.7,0.0,2701.3,69102,20520,8840890.1,2701.3,3770202.4,11.423771930215588
1995-05-01,114743.9,42369.6,0.0,2701.3,65597,19896,8955634.0,2701.3,3812572.0,3.755536972000817
1995-06-01,114877.7,43208.0,0.0,2701.3,71066,19451,9070511.7,2701.3,3855780.0,0.1166075059327864
1995-07-01,123712.1,44502.3,0.0,2701.3,75100,20826,9194223.8,2701.3,3900282.3,7.690265386580686
1994-09-01,94376.7,44233.0,0.0,2701.3,66333,18572,7997937.4,2701.3,3497295.9,9.862295946240218
1995-08-01,129048.1,40805.7,0.0,2701.3,76355,20810,9323271.9,2701.3,3941088.0,4.313240176183242
1995-10-01,130571.4,38870.6,0.0,2701.3,78056,21288,9573871.1,2701.3,4018281.3,8.78429830422618
1995-11-01,125984.9,36279.0,0.0,2701.3,73367,21113,9699856.0,2701.3,4054560.3,3.512637530117624
1995-12-01,128867.0,40931.7,0.0,2701.3,73126,21596,9828723.0,2701.3,4095492.0,2.2876551078740537
1996-01-01,130840.2,40145.1,0.0,2701.3,68272,21572,9959563.2,2701.3,4135637.1,1.5311910729667089
1996-02-01,123877.7,37242.8,0.0,2701.3,66496,20575,10083440.9,2701.3,4172879.9,5.321376763410635
1996-03-01,132857.0,42422.9,0.0,2701.3,76827,22270,10216297.9,2701.3,4215302.8,7.248520112982404
1996-04-01,119880.7,40151.3,0.0,2701.3,72744,20943,10336178.6,2701.3,4255454.1,9.767118029159173
1996-05-01,93260.0,39442.4,0.0,2701.3,71016,16418,10429438.6,2701.3,4294896.5,22.2059931248316
1996-06-01,104199.5,38723.9,0.0,2701.3,74941,19201,10533638.1,2701.3,4333620.4,11.730109371649156
1996-07-01,108699.7,39206.0,0.0,2701.3,76807,19592,10642337.8,2701.3,4372826.4,4.318830704561916
1995-09-01,120027.8,38322.7,0.0,2701.3,75650,20099,9443299.7,2701.3,3979410.7,6.989874318180589
1991-06-01,66198.2,21899.8,0.0,0.0,45977,12360,4685792.7,0.0,2427459.2,4.2082710874003615
1994-08-01,104702.8,40624.1,0.0,2701.3,67071,20136,7903560.7,2701.3,3453062.9,16.067343133498248
1994-06-01,127563.4,33721.7,0.0,2701.3,66451,21408,7674111.7,2701.3,3374612.1,28.37989613944687
1991-08-01,57922.8,27765.3,0.0,0.0,49993,12456,4809166.8,0.0,2479315.7,11.502445329580924
1991-09-01,42115.3,31522.0,0.0,0.0,46218,10128,4851282.1,0.0,2510837.7,27.290635121230324
1991-10-01,30895.6,24000.2,0.0,0.0,38353,7584,4882177.7,0.0,2534837.9,26.64043708580968
1992-01-01,80724.5,26793.8,0.0,0.0,52427,14760,5082725.6,0.0,2610183.8,6.7520335578368895
1992-04-01,72893.9,24841.8,0.0,0.0,54297,14448,5264414.8,0.0,2692671.5,13.362145383177438
1992-05-01,75167.7,25212.8,0.0,0.0,55814,14184,5339582.5,0.0,2717884.3,3.119328229111073
1992-06-01,67600.7,27307.2,0.0,0.0,53017,13152,5407183.2,0.0,2745191.5,10.066823915059263
1992-07-01,67492.9,28268.0,0.0,0.0,58384,13032,5474676.1,0.0,2773459.5,0.15946580434818
1992-08-01,77936.3,30767.4,0.0,0.0,59171,16368,5552612.4,0.0,2804226.9,15.473331268918676
1992-09-01,83538.4,28859.2,0.0,0.0,57847,16728,5636150.8,0.0,2833086.1,7.188049727790502
1994-07-01,124746.2,37826.7,0.0,2701.3,72488,22128,7798857.9,2701.3,3412438.8,2.208470454691547
1992-10-01,93320.7,28341.8,0.0,0.0,63297,17040,5729471.5,0.0,2861427.9,11.709944169387976
1992-12-01,100347.2,23477.5,0.0,0.0,62699,19584,5922339.2,0.0,2911309.1,8.459422506363445
1993-01-01,100903.6,22464.5,0.0,0.0,58525,19536,6023242.8,0.0,2933773.6,0.5544748632747121
1993-02-01,89797.6,21481.3,0.0,0.0,50367,16632,6113040.4,0.0,2955254.9,11.006544860639266
1993-03-01,101521.4,23906.9,0.0,0.0,59733,17928,6214561.8,0.0,2979161.8,13.055805500369711
1993-04-01,94744.5,22453.1,0.0,0.0,57936,16392,6309306.3,0.0,3001614.9,6.675341356600672
1993-05-01,98083.6,25038.5,0.0,0.0,64068,16800,6407389.9,0.0,3026653.4,3.52432067296784
1993-06-01,98318.8,29232.9,0.0,0.0,67504,17064,6505708.7,0.0,3055886.3,0.2397954398084767
1993-07-01,100478.7,31307.8,0.0,0.0,72185,17016,6606187.4,0.0,3087194.1,2.1968331590702883
1994-04-01,97680.2,27822.1,0.0,2701.3,64672,18648,7447184.3,2701.3,3308287.0,4.833341776986244
