Unnamed: 0,ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumPrdOil(m3),CalDlyOil(m3/d),CalInjGas(E3m3/d),CalInjSteam(m3/d),SOR,percent_change_SOR,is_interpolated,CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate
1169,2013-06-01,81754.8,52717.4,3.0,3.2,39878,13484,2931240.0,4085231.4,1757.25,0.1,2725.16,61843.298690754855,-10.554166320736991,False,1866592.9,1.3219669993480114,6.063097003856423,4.5864208462440565
1170,2013-07-01,105183.2,66495.5,17.0,20.2,40859,13943,3036423.2,4151726.9,2145.02,0.55,3393.01,64631.14599935334,4.507921420134808,False,1933088.4,1.6274382632957245,7.543799756150039,4.63538305955342
1171,2013-08-01,108253.8,64128.2,47.3,67.5,40196,13753,3144677.0,4215855.1,2068.65,1.53,3492.06,67854.23175451675,4.986892473167126,False,1997216.6,1.5953876007562942,7.87128626481495,4.933776758126717
1172,2013-09-01,96601.4,55844.1,45.0,112.5,39075,12112,3241278.4,4271699.2,1861.47,1.5,3220.05,67593.52742724837,-0.384212333597056,False,2053060.7,1.4291516314779271,7.975677014531043,5.580707350334243
1173,2013-10-01,110691.3,56710.4,51.3,163.8,40114,14017,3351969.7,4328409.6,1829.37,1.65,3570.69,78297.29305735808,15.835489043873752,False,2109771.1,1.4137308670289674,7.896932296497111,5.585880934390961
1174,2013-11-01,105190.3,47506.5,50.1,213.9,37363,13117,3457160.0,4375916.1,1583.55,1.67,3506.34,82730.26173050005,5.661713834595172,False,2157277.6,1.271485159114632,8.019387054966836,6.307102365670507
1175,2013-12-01,109229.4,49002.5,77.7,291.6,37403,13075,3566389.4,4424918.6,1580.73,2.51,3523.53,83373.44519565327,0.7774464285492666,False,2206280.1,1.3101221827126166,8.354065009560228,6.376554125862583
1176,2014-01-01,100869.0,46204.6,55.0,346.6,36642,14608,3667258.4,4471123.2,1490.47,1.77,3253.84,79992.94221787441,-4.054651897670536,False,2252484.7,1.260973745974565,6.905052026286966,5.475968114586145
1177,2014-02-01,97032.4,49734.6,38.5,385.1,34625,12517,3764290.8,4520857.8,1776.24,1.38,3465.44,67553.51103658217,-15.5506608913213,False,2302219.3000000003,1.4363783393501806,7.752049213070224,5.396941043107947
1178,2014-03-01,107280.0,60987.9,44.5,429.6,39616,12209,3871570.8,4581845.7,1967.35,1.44,3460.65,69686.02755628576,3.1567811753689057,False,2363207.2,1.5394764741518578,8.786960439020394,5.707758830066815
1179,2014-04-01,105351.2,57388.4,45.5,475.1,39826,12960,3976922.0,4639234.1,1912.95,1.52,3511.71,73110.88810979221,4.914701947589384,False,2420595.6,1.440978255411038,8.12895061728395,5.641272230693844
1181,2014-06-01,100632.1,56119.6,23.4,498.5,38319,12362,4174147.3,4753004.7,1870.65,0.78,3354.4,68712.56102858894,4.098458360320545,False,2534366.2,1.4645371747696965,8.140438440381816,5.558369279128697
