,ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumPrdOil(m3),CalDlyOil(m3/d),CalInjGas(E3m3/d),CalInjSteam(m3/d),SOR,percent_change_SOR,is_interpolated,CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate
30,1999-08-01,55956.0,13296.1,0.0,0.0,11621,10824,808519.3,387347.5,428.91,0.0,1805.03,48906.42188310858,-22.23506703232153,False,278386.6,1.1441442216676707,5.169623059866963,4.518331659562877
31,1999-09-01,60298.0,16949.9,0.0,0.0,12715,10478,868817.3,404297.4,565.0,0.0,2009.93,45232.660369677695,-7.51181822749486,False,295336.5,1.333063311049941,5.754724184004581,4.316917385920758
32,1999-10-01,68259.0,25880.6,0.0,0.0,14334,12101,937076.3,430178.0,834.86,0.0,2201.9,37805.32545613317,-16.420292003261284,False,321217.1,1.8055392772429188,5.640773489794232,3.124148868368992
33,1999-11-01,64589.0,24310.3,0.0,0.0,13453,11208,1001665.3,454488.3,810.34,0.0,2152.97,35742.70235250079,-5.45590622153409,False,345527.4,1.8070541886568048,5.762758743754461,3.189034828024696
34,1999-12-01,60348.0,24441.8,0.0,0.0,13556,11144,1062013.3,478930.1,788.45,0.0,1946.71,33470.4272189446,-6.357312077712018,False,369969.2,1.803024491000295,5.415290739411343,3.003448242906012
35,2000-01-01,59289.0,27214.3,0.0,0.0,14172,11591,1121302.3,506144.4,877.88,0.0,1912.55,30875.08067449833,-7.754148243967651,False,397183.5,1.9202864803838555,5.115089293417307,2.663711558493515
36,2000-02-01,64370.0,27497.9,0.0,0.0,13985,12090,1185672.3,533642.3,948.2,0.0,2219.66,32737.57086904818,6.032341143283859,False,424681.4,1.9662424025741867,5.324234904880067,2.7078222389618016
37,2000-03-01,69616.0,29390.4,0.0,0.0,14846,13449,1255288.3,563032.7,948.08,0.0,2245.68,35165.19462137296,7.415405871240077,False,454071.8,1.9796847635726795,5.176295635363224,2.6147070132629167
38,2000-04-01,63736.0,27351.8,0.0,0.0,13525,13844,1319024.3,590384.5,911.73,0.0,2124.53,31516.368209770477,-10.376244041558005,False,481423.6,2.0223142329020334,4.603871713377637,2.276536276348633
39,2000-05-01,76982.0,30402.9,0.0,0.0,15028,15193,1396006.3,620787.4,980.74,0.0,2483.29,38051.81400458509,20.736671659993316,False,511826.5,2.023083577322332,5.066938721779767,2.504562232908911
40,2000-06-01,64621.0,31854.3,0.0,0.0,14792,16175,1460627.3,652641.7,1061.81,0.0,2154.03,30007.68599529734,-21.13993306158404,False,543680.8,2.15348161168199,3.995115919629057,1.8551892423676872
41,2000-07-01,69115.3,30489.0,0.0,0.0,15031,17356,1529742.6,683130.7,983.52,0.0,2229.53,34073.66834924071,13.549803055725707,False,574169.8,2.028407956889096,3.9822136436967046,1.9632212692579345
42,2000-08-01,76131.65,30268.2,0.0,0.0,15446,19591,1626738.6,713376.6,992.55,0.0,2500.565,49533.99356607011,0.0257600418565537,True,604438.0,1.9596141395830635,3.886052268898984,1.983070131207462
43,2000-09-01,83148.0,30047.4,0.0,0.0,15484,18986,1709886.6,743424.0,1001.58,0.0,2771.6,42847.75494718345,-13.498282972012598,False,634485.4,1.94054507879101,4.379437480248604,2.2568079083105155
44,2000-10-01,91871.0,29902.9,0.0,0.0,15442,20058,1801757.6,773326.9,964.61,0.0,2963.58,47442.622019937866,10.723705544008787,False,664388.3,1.936465483745629,4.580267225047363,2.3652718127399472
45,2000-11-01,80081.0,28878.2,0.0,0.0,15936,19729,1881838.6,802205.1,962.61,0.0,2669.37,44191.49448372821,-6.852756862475607,False,693266.5,1.812136044176707,4.059050129251355,2.239925717660713
46,2000-12-01,73350.0,28122.3,0.0,0.0,16277,21293,1955188.6,830327.4,907.17,0.0,2366.13,42454.49163119659,-3.930627087461813,False,721388.8,1.727732383117282,3.444794063776828,1.993823868463655
47,2001-01-01,65478.0,23200.4,0.0,0.0,16046,21840,2020666.6,853527.8,748.4,0.0,2112.19,45286.28765021292,6.670191798823599,False,744589.2000000001,1.445868129128755,2.998076923076923,2.0735479693320937
48,2001-02-01,54675.0,14467.0,0.0,0.0,13422,20159,2075341.6,867994.8,516.68,0.0,1952.68,50725.64111426004,12.011038542307071,False,759056.2000000001,1.0778572492922067,2.712188104568679,2.516277648408157
49,2001-03-01,50393.0,16867.2,0.0,0.0,16163,21918,2125734.6,884862.0,544.1,0.0,1625.58,48289.10898074369,-4.803354043427543,False,775923.4,1.0435686444348202,2.2991605073455608,2.2031713194973856
58,2001-12-01,53584.0,14187.5,0.0,0.0,13636,22604,2517470.0,1024222.8,457.66,0.0,1728.52,51501.06953303965,16.064684097619697,False,915284.2,1.0404444118509828,2.370553884268271,2.27840512887275
59,2002-01-01,60001.1,14952.3,0.0,0.0,13053,23393,2577471.1,1039175.1,482.33,0.0,1935.52,52379.52410665918,1.7057016127713045,False,930236.5,1.145506780050563,2.5649168554695847,2.239111020675381
60,2002-02-01,56559.9,12542.4,0.0,0.0,12428,20087,2634031.0,1051717.5,447.94,0.0,2020.0,56044.01368159205,6.996034495217929,False,942778.9,1.009205020920502,2.8157465027131976,2.7900639060881187
61,2002-03-01,70229.8,14813.7,0.0,0.0,14136,22238,2704260.8,1066531.2,477.86,0.0,2265.48,67016.91358674741,19.579075773367503,False,957592.6,1.0479414261460105,3.15809874988758,3.013621440181105
62,2002-04-01,76362.4,13807.8,0.0,0.0,14694,21398,2780623.2,1080339.0,460.26,0.0,2545.41,81263.4239777517,21.258081920713146,False,971400.4,0.9396896692527562,3.568669969155996,3.7977111869217546
63,2002-05-01,80430.2,15198.6,0.0,0.0,13998,23423,2861053.4,1095537.6,490.28,0.0,2594.52,74076.68730014606,-8.843753223557538,False,986599.0,1.0857693956279468,3.433812918925842,3.162561896432825
64,2002-06-01,77142.9,13440.7,0.0,0.0,14149,21534,2938196.3,1108978.3,448.02,0.0,2571.43,81208.18797384064,9.627186276296284,False,1000039.7,0.9499399250830448,3.5823767066035104,3.771161325059935
65,2002-07-01,84393.3,13105.4,0.0,0.0,15065,22839,3022589.6,1122083.7,422.75,0.0,2722.36,97012.3051948052,19.461236133055326,False,1013145.1,0.8699236641221374,3.695139892289505,4.247659932344026
66,2002-08-01,76031.9,12451.1,0.0,0.0,14358,21429,3098621.5,1134534.8,401.65,0.0,2452.64,87676.27118889093,-9.623556503648778,False,1025596.2,0.8671890235408831,3.5480843716459,4.091477492598392
67,2002-09-01,73277.8,12874.5,0.0,0.0,15087,19864,3171899.3,1147409.3,429.15,0.0,2442.59,85870.68768495866,-2.059375335479652,False,1038470.7,0.8533505667130642,3.688975030205397,4.32293031035837
68,2002-10-01,70132.0,12363.5,0.0,0.0,13959,18332,3242031.3,1159772.8,398.82,0.0,2262.32,79182.4797185263,-7.788697338689044,False,1050834.2,0.8857009814456623,3.825660048003491,4.3193584834456855
69,2002-11-01,64912.5,10022.6,0.0,0.0,12435,17289,3306943.8,1169795.4,334.09,0.0,2163.75,80536.68085127612,1.7102282443839378,False,1060856.8,0.805999195818255,3.754554919312858,4.6582613714660255
70,2002-12-01,60801.8,12175.9,0.0,0.0,13942,12536,3367745.6,1181971.3,392.77,0.0,1961.35,69621.02970622295,-13.55363919852951,False,1073032.7,0.8733252044183044,4.850175494575622,5.553687755761244
71,2003-01-01,51587.8,16735.6,0.0,0.0,14063,14136,3419333.4,1198706.9,539.86,0.0,1664.12,43349.460515308696,-37.73510576010055,False,1089768.3,1.1900447984071676,3.649391624221845,3.066600206232929
