ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,DeltaMonInjSteam(m3),delta_wells,delta_SOR,delta_delta_SOR,CumPrdHours(hr),cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj,delta_OCT(%),delta_steam,delta_oil,delta_lnncg,delta_ncg,CalInjGas(m3/d),delta_PrdHours,delta_Inj/PrdHours,delta_cSOR,delta_delta_cSOR,scale,oil/wellhours(m3/d/well/hr),steam/wellhours(m3/d/well/hr),daily_sor,delta_sor_wellhour,Ncg/steam,lnncg,lnncg/steam,ncg/scale,oil/scale,Ncg/oil,OilRate/lnncg,cumsteam/oil,SteamRate/PrdHours,CumPrdHours(hr)/OilRate,CumOil/CumPrdHours,PrdHours(hr)/wells,min_sor,CumSteam/Months,cum_injected_volume,cum_produced_volume,system_volume,NCG_6_month_avg,SOR_6_month_avg,OIL_6_month_avg
2012-01-01,15349.0,522.17,495.13,1753870.0,5746.5,257.58,185.37,62140.4,74797.7,2487.64,2412.83,8361653.7,90146.7,3009.81,2907.96,10115523.7,98.0,3.45,3.16,2473.4,13109.0,422.87,422.87,404265.4,0,0,0,0,13982,26661,40643,82.97,17.03,374.39,13.02,4.87,73,46255.3,1492.11,1492.11,4260910.7,168,27,3.013570916672096,98000.0,2473400.0,1536782.1999999997,0.5757098383406474,3.3082034043770565,5.746303405048974,4569314515.260004,0.0,0.3794839495662323,0.46999708640447,2939128,2.4294335954204134,0.580486232673217,6.384780767476709,2.118676130086714,0.4849333102867932,0.2791808776712047,1.9068087541124303,1.5300000000000011,95.91999999999985,-34.91999999999996,0.05195973893071093,160.0,3160.0,-563.0,323.0,0.005157213369233027,0.0031552833717931605,0.4849333102867932,1021.0269938090588,3076.938557010148,3.0135721931613917,0.37949993582717756,2.1178063279516928,8.058327306580958,0.005400625494488314,6516.359946754642,1021.0269938090588,6.3821622604164565,0.07144284619346312,1.59622372661587,0.00012408399551318617,5105224.549351749,0.3010214702887334,365.2191780821918,3.0135721931613917,25362.563690476192,6734310.7,72255923.7,-65521613.0,2605.0,2.6155732561778886,567.6
2012-02-01,14058.3,512.47,484.77,1767928.3,4977.0,3084.17,171.62,67117.4,78164.8,2906.98,2695.34,8439818.5,92223.1,3419.45,3180.11,10207746.8,112.0,3.93,3.86,2585.4,14785.0,509.83,509.83,419050.4,0,0,0,0,14079,22724,36803,84.76,15.24,354.03,15.71,5.56,73,44453.1,1680.42,1532.87,4305363.8,169,28,3.1620537333817036,112000.0,2585400.0,1550840.4999999998,0.6186542862172153,3.1574046452162796,5.103665674931872,-2794924749.1000066,0.0,0.1484828167096075,-0.23100113285662482,2961852,2.435259280594128,0.6005067446332875,7.966823869173371,2.5195093255588477,0.42003833542145314,0.25985851658402637,1.6140350877192982,-1.790000000000001,40.75999999999999,-10.360000000000014,0.2000951558779187,700.0,3860.0,-3937.0,-3840.0,0.005825685173714845,0.0006684718044818183,0.42003833542145314,1154.1089446362012,3649.357381777944,3.1620562328526933,0.14848403969130164,2.5181522242590697,8.258422462458876,0.005387555671687016,9189.637408040384,1154.1089446362012,7.962538935990263,0.07491192040967788,1.717476277279603,0.00013894581258652876,4787572.099613751,0.3239304740966966,311.28767123287673,3.1620562328526933,25475.52544378698,6890763.8,77325146.8,-70434383.0,2765.0,2.728408874753713,552.2783333333333
2012-03-01,16605.8,560.46,535.67,1784534.1,5709.2,274.8,184.17,72826.6,88134.4,2937.83,2843.05,8527952.9,104740.2,3498.29,3378.72,10312487.0,124.0,4.01,4.0,2709.4,26422.6,854.07,852.34,445473.0,0,0,0,0,14033,27381,41414,84.15,15.85,343.81,15.44,5.31,73,38114.2,1568.87,1229.49,4343478.0,170,29,2.2952341952811666,124000.0,2709400.0,1567446.2999999998,0.6064716409188853,2.716040761063208,4.478429950900993,-9935885351.070002,0.0,-0.866819538100537,-1.0153023548101445,2989233,2.4339562914488435,0.6237858232503998,7.467270471762879,3.2533806297915215,0.3740719630196586,0.22686403723428095,1.9511864889902373,0.6099999999999994,-303.3799999999999,50.89999999999998,0.03562717764315115,140.0,4000.0,4657.0,4611.0,-0.0013029891452847053,-0.0071286743189995505,0.3740719630196586,1431.9971902621553,3286.7739941669633,2.2952377396531447,-0.8668184931995486,3.2533814833792873,8.294049640102028,0.006745926880334144,10693.129652675381,1431.9971902621553,7.467283962140871,0.07312129384740756,1.6805655351351294,9.919435963124824e-05,4928891.638644329,0.3180119213233747,375.0821917808219,2.2952377396531447,25549.870588235295,7052878.0,83139087.0,-76086209.0,3381.6666666666665,2.7256725347816637,537.3616666666667
2012-04-01,9461.8,398.01,315.39,1793995.9,4637.9,163.85,154.6,77464.5,61592.4,2536.19,2053.08,8589545.3,71054.2,2934.2,2368.47,10383541.2,120.0,8.41,4.0,2829.4,15662.0,944.71,522.07,461135.0,0,0,0,0,12044,24663,36707,86.68,13.32,490.17,13.28,6.51,72,19794.0,966.77,659.8,4363272.0,171,30,2.0919909530956056,120000.0,2829400.0,1576908.0999999999,0.3836435145764911,1.6434739289272666,4.2838569309363095,-28889271773.61999,-1.0,-0.203243242185561,0.663576295914976,3013896,2.4321527156221485,0.6484583129357968,12.682576253989728,6.062443164595332,0.19253208828374943,0.07386368701792889,2.0477416140817004,-2.5299999999999994,-569.69,-220.27999999999997,0.0,0.0,4000.0,-2718.0,-4707.0,-0.001803575826694992,-0.0005005866814102866,0.19253208828374943,1638.116548838266,3426.9612192,2.092013063191604,-0.20322467646154063,6.062443164595332,8.294049640102028,0.012570551136862729,20775.757618672327,1638.116548838266,12.682710295190082,0.04625527109478112,1.0615336462113396,6.663722697673708e-05,7855980.579593735,0.2007270873474522,342.5416666666667,2.092013063191604,25516.21052631579,7192672.0,87848041.2,-80655369.2,3548.3333333333335,2.653589478246756,489.7066666666667
2012-05-01,15024.1,519.87,484.65,1809020.0,4506.4,163.11,145.37,81970.9,83647.4,2804.81,2698.3,8673192.7,98671.5,3324.68,3182.95,10482212.7,143.0,4.62,4.61,2972.4,33406.3,1077.62,1077.62,494541.3,0,0,0,0,14869,24421,39290,84.77,15.23,299.94,18.56,5.57,71,33465.6,1085.99,1079.54,4396737.6,172,31,2.2274612123188744,143000.0,2972400.0,1591932.2,0.6152123172679251,2.2506960790907256,3.658405425115289,21764260265.519997,-1.0,0.13547025922326883,0.33871350140882983,3038317,2.4304527313130864,0.6760467124533427,9.518041014104005,4.273044559189137,0.2990045932949529,0.18395130871474147,1.6424103840204451,1.9100000000000001,419.74,169.26,0.14193349588866666,610.0,4610.0,-242.0,2583.0,-0.0016999843090621525,0.00010359151763283947,0.2990045932949529,1620.8781097951808,3610.4462078784472,2.227463117713814,0.13545005452220993,4.270337365915112,8.435983135990694,0.007814423862006684,15417.823349129852,1620.8781097951808,9.512018982771073,0.07292716300524901,1.6991471918936092,9.216232255397918e-05,4938647.869556246,0.3223417101294651,343.9577464788732,2.227463117713814,25562.427906976744,7369137.6,92453112.7,-85083975.10000001,3771.6666666666665,2.5707329963092183,474.27666666666664
2012-06-01,14646.8,516.14,488.23,1823666.8,4667.2,195.19,155.57,86638.1,78994.5,2732.24,2633.15,8752187.2,93641.3,3248.38,3121.38,10575854.0,90.0,6.76,3.0,3062.4,30314.7,1017.17,1010.49,524856.0,0,0,0,0,12930,24565,37495,84.36,15.64,318.65,16.93,5.39,71,36857.9,1454.09,1228.6,4433595.5,173,32,2.5164472785864493,90000.0,3062400.0,1606579.0,0.5962466924486057,2.850572312451663,4.7808605876625,5449997941.700005,0.0,0.28898606626757495,0.15351580704430612,3062882,2.431143397467125,0.6907260709733217,6.1446868940655985,2.4418103038968577,0.38824582882309444,0.23149029129273763,1.89984532095901,0.41000000000000014,149.05999999999995,3.580000000000041,-0.42961556834044745,-1610.0,3000.0,144.0,-1795.0,0.0006906661540386771,0.0023906504631008296,0.38824582882309444,1257.5279983818286,3164.489889625616,2.5164369252196708,0.2889738075058568,2.44180367898421,8.006367567650246,0.006516659260662743,7727.063054596165,1257.5279983818286,6.144644941933105,0.07447156121806628,1.6454320967285283,0.0001160420237106315,5136937.510582516,0.31275034915069816,345.98591549295776,2.5164369252196708,25627.719653179192,7495995.5,97213954.0,-89717958.5,3771.6666666666665,2.551126381555983,467.3066666666667
2012-07-01,12535.1,437.97,404.36,1836201.9,3749.5,147.96,120.95,90387.6,84469.0,2907.9,2724.81,8836656.2,97004.1,3345.86,3129.16,10672858.1,91.0,4.17,2.94,3153.4,24851.0,801.95,801.65,549707.0,0,0,0,0,13615,24691,38306,87.08,12.92,299.12,22.53,6.74,71,42329.8,1572.26,1365.48,4475925.3,174,33,3.3769016601383317,91000.0,3153400.0,1619114.1,0.5076789113442145,3.1090561880279104,6.124060146197249,8859630443.790003,0.0,0.8604543815518824,0.5714683152843074,3087573,2.437599754144683,0.7045247158168614,7.259615001076976,2.1497857301475554,0.35355479193158085,0.17949231186835524,1.8135145060594933,-2.7200000000000006,136.8800000000001,-83.87,-0.020202707317519497,-60.0,2940.0,126.0,811.0,0.006456356677558173,0.0057656905235194955,0.35355479193158085,1143.6982590190742,3862.1453623636494,3.3768918785240873,0.8604549533044166,2.153089023640039,7.986164860332727,0.005848613572027952,8315.542787407454,1143.6982590190742,7.270748837669403,0.06356980105254965,1.4034420943910169,0.00012591860143485118,6081743.65924484,0.2662253114760583,347.76056338028167,3.3768918785240873,25723.708620689653,7629325.3,101060458.1,-93431132.8,3735.0,2.611681505467022,452.1783333333333
2012-08-01,14054.9,467.78,453.38,1850256.8,3892.7,138.26,125.57,94280.3,84061.2,2845.81,2711.65,8920717.4,98116.1,3313.59,3165.04,10770974.2,864.5,27.96,27.89,4017.9,25830.5,833.24,833.24,575537.5,0,0,0,0,14823,27029,41852,85.68,14.32,276.96,21.59,5.98,71,39414.7,1275.92,1271.44,4515340.0,175,34,2.8043387003820732,864500.0,4017900.0,1633169.0,0.5199933404861445,2.6590231397153072,5.113571526184109,-4760850951.900009,0.0,-0.5725629597562585,-1.4330173413081408,3114602,2.440385572424325,0.8898333237364185,61.50879764352646,21.933441076552658,0.33410622396096346,0.17373301147467332,1.8234500438507724,1.4000000000000004,-94.03999999999996,49.01999999999998,2.2498586202888076,24950.0,27890.0,2338.0,3546.0,0.0027858182796416386,-0.003670538397916534,0.33410622396096346,1356.9935771474054,3805.4963027224344,2.8043583748731753,-0.572533503650912,21.935757880828035,10.236023480621535,0.008050732618622613,83476.4455129056,1356.9935771474054,61.515726322290355,0.05080032704795733,1.4376630526483836,9.837667467221529e-05,5989695.939352112,0.2726630895017778,380.6901408450704,2.8043583748731753,25801.942857142858,8533240.0,105051274.2,-96518034.2,7740.0,2.5520623333004164,446.94666666666666
2012-09-01,14686.0,502.7,489.53,1864942.8,3465.7,121.89,115.52,97746.0,82392.1,2799.54,2746.4,9003109.5,97078.1,3302.24,3235.94,10868052.3,38.0,1.27,1.27,4055.9,28610.1,954.59,953.67,604147.6,0,0,0,0,14326,26949,41275,84.87,15.13,235.99,23.77,5.61,71,35485.8,1186.15,1182.86,4550825.8,176,35,2.4163012392755006,38000.0,4055900.0,1647855.0,0.5449552859104234,2.477020801340221,4.545365216894839,-6474257509.49999,0.0,-0.38803746110657267,0.18452549864968582,3141551,2.440195913783522,0.8912448373655613,2.587498297698488,1.070850875561492,0.3272679998980313,0.17834642645376406,1.881125226860254,0.8100000000000005,-88.58000000000015,36.14999999999998,-3.089251301168898,-26620.0,1270.0,-80.0,-577.0,-0.0001896586408030032,-0.002975476920444642,0.3272679998980313,1495.807717688639,3614.3466527999994,2.416317692480543,-0.38804068239263234,1.073668904181391,7.146772179452637,0.006041942562477924,3880.6116100434533,1495.807717688639,2.594325169039691,0.07625194594521983,1.504984707372634,9.191512862593124e-05,5764786.728789323,0.28584838911223176,379.5633802816901,2.416317692480543,25856.96477272727,8606725.8,108614052.3,-100007326.5,7285.0,2.572240173966139,439.25666666666666
2012-10-01,12230.5,428.46,394.53,1877173.3,3810.6,132.88,122.92,101556.6,82454.6,2871.82,2659.83,9085564.1,94685.1,3300.27,3054.36,10962737.4,0.0,0.0,0.0,4055.9,29896.3,964.4,964.4,634043.9,0,0,0,0,12931,27449,40380,87.08,12.92,311.57,21.64,6.74,69,35021.5,1551.44,1129.73,4585847.3,177,36,2.863456113813826,0.0,4055900.0,1660085.5,0.44557178767896827,2.708336555564148,6.0783394067029395,-770777697.6500049,-2.0,0.4471548745383256,0.8351923356448983,3169000,2.4429536154173936,0.8844385202272217,0.0,0.0,0.30798586756663043,0.1372298135915215,2.1227283272755395,-2.210000000000001,-53.12999999999988,-95.0,0.0,-1270.0,0.0,500.0,-895.0,0.0027577016338717897,0.002947360274674793,0.30798586756663043,1281.0003365321506,3668.1228555254775,2.8634831318277447,0.44716543934720177,0.0,0.0,0.0,0.0,1281.0003365321506,0.0,inf,1.2308547839757469,9.866794985479063e-05,7112209.721597645,0.23341346290152537,397.81159420289856,2.8634831318277447,25908.741807909602,8641747.3,112519337.4,-103877590.10000001,6618.333333333333,2.700817700752509,452.44666666666666
