ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonthlyGas(E3m3),MonthlyWater(m3)
2022-01-01,51200.6,20138.0,547.3,59995.5
2022-02-01,46530.5,15723.8,396.90000000000003,51952.7
2022-03-01,51679.6,17407.5,801.9,58406.9
2022-04-01,49676.7,16837.1,433.1,57661.7
2022-05-01,37949.6,11294.2,280.6,43247.8
2022-06-01,50401.6,16429.1,448.1,56723.0
2022-07-01,53878.100000000006,15714.1,570.6,56796.4
2022-08-01,51513.7,15562.0,677.7,60518.0
2022-09-01,46650.2,13340.4,743.2,54020.2
2022-10-01,53912.3,12750.3,984.0,57420.7
